"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-25","56","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-26","59","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-27","57","68","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-28","56","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-29","59","70","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-30","61","80","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-05-31","63","74","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-01","60","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-02","59","72","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-03","61","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-04","59","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-05","61","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-06","62","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-07","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-08","59","67","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-09","58","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-10","58","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-11","56","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-12","56","62","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-06-13","56","67","52"
